Heading,Title,Authors,Subjects,Abstract,PDF
New submissions,Particle collisions around static spherically symmetric black hole and rotating black hole in gravity's rainbow,"Deng Lin-fang,Zhang He-yao,Long Chao-yun",General Relativity and Quantum Cosmology (gr-qc),"We extend the Banados-Silk-West effect to the static spherically symmetric black hole and rotating black hole in gravity's rainbow. Through systematic investigation that the effects of different rainbow functions on the center-of-mass energy of two test particles colliding outside the event horizon, we discussed the possibility of infinite center-of-mass energy Ecm and the corresponding motion parameters. By employing rainbow functions g0=g1=(1-E/EP)-1, infinite Ecm can be achieved through collisions occurring outside the event horizon, rather than being confined solely to collisions near the event horizon.",
New submissions,Gravitational Bounce from the Quantum Exclusion Principle,"Enrique Gaztanaga,K. Sravan Kumar,Swaraj Pradhan,Michael Gabler",General Relativity and Quantum Cosmology (gr-qc); Cosmology and Nongalactic Astrophysics (astro-ph.CO),"We investigate the fully relativistic spherical collapse model of a uniform distribution of mass $M$ with initial comoving radius $\chi_*$ and spatial curvature $k \equiv 1/\chi_k^2 \le 1/\chi_*^2$ representing an over-density or bounded perturbation within a larger background. Our model incorporates a perfect fluid with an evolving equation of state, $P = P(\rho)$, which asymptotically transitions from pressureless dust ($P = 0$) to a ground state characterized by a uniform, time-independent energy density $\rho_{\rm G}$. This transition is motivated by the quantum exclusion principle, which prevents singular collapse, as observed in supernova core-collapse explosions. We analytically demonstrate that this transition induces a gravitational bounce at a radius $R_{\rm B} = (8 \pi G \rho_{\rm G}/3)^{-1/2}$. The bounce leads to an exponential expansion phase, where $P(\rho)$ behaves effectively as an inflation potential. This model provides novel insights into black hole interiors and, when extended to a cosmological setting, predicts a small but non-zero closed spatial curvature: $ -0.07 \pm 0.02 \le \Omega_k < 0$. This lower bound follows from the requirement of $\chi_k \ge \chi_* \simeq 15.9$ Gpc to address the cosmic microwave background low quadrupole anomaly. The bounce remains confined within the initial gravitational radius $r_{\rm S} = 2GM$, which effectively acts as a cosmological constant $\Lambda$ inside $r_{\rm S}=\sqrt{3/\Lambda}$ while still appearing as a Schwarzschild black hole from an external perspective. This framework unifies the origin of inflation and dark energy, with its key observational signature being the presence of small but nonzero spatial curvature, a testable prediction for upcoming cosmological surveys.",
New submissions,Black hole spectroscopy: from theory to experiment,"Emanuele Berti,Vitor Cardoso,Gregorio Carullo,Jahed Abedi,Niayesh Afshordi,Simone Albanesi,Vishal Baibhav,Swetha Bhagwat,José Luis Blázquez-Salcedo,Béatrice Bonga,Bruno Bucciotti,Giada Caneva Santoro,Pablo A. Cano,Collin Capano,Mark Ho-Yeuk Cheung,Cecilia Chirenti,Gregory B. Cook,Adrian Ka-Wai Chung,Marina De Amicis,Kyriakos Destounis,Oscar J. C. Dias,Walter Del Pozzo,Francisco Duque,Will M. Farr,Eliot Finch,Nicola Franchini,Kwinten Fransen,Vasco Gennari,Stephen R. Green,Scott A. Hughes,Maximiliano Isi,Xisco Jimenez Forteza,Gaurav Khanna,Fech Scen Khoo,Masashi Kimura,Badri Krishnan,Adrien Kuntz,Macarena Lagos,Rico K. L. Lo,Lionel London,Sizheng Ma,Simon Maenaut,Lorena Magaña Zertuche,Elisa Maggio,Andrea Maselli,Keefe Mitman,Hayato Motohashi,Naritaka Oshita,Costantino Pacilio,Paolo Pani,Rodrigo Panosso Macedo,Chantal Pitte,Lorenzo Pompili,Jaime Redondo-Yuste,Maurício Richartz,Antonio Riotto,Jorge E. Santos,Bangalore Sathyaprakash,Laura Sberna,Hector O. Silva,Leo C. Stein,Alexandre Toubiana,Sebastian H. Völkel,Julian Westerweck,Huan Yang,Sophia Yi,Nicolas Yunes,Hengrui Zhu",General Relativity and Quantum Cosmology (gr-qc); High Energy Astrophysical Phenomena (astro-ph.HE); High Energy Physics - Phenomenology (hep-ph),"The ""ringdown"" radiation emitted by oscillating black holes has great scientific potential. By carefully predicting the frequencies and amplitudes of black hole quasinormal modes and comparing them with gravitational-wave data from compact binary mergers we can advance our understanding of the two-body problem in general relativity, verify the predictions of the theory in the regime of strong and dynamical gravitational fields, and search for physics beyond the Standard Model or new gravitational degrees of freedom. We summarize the state of the art in our understanding of black hole quasinormal modes in general relativity and modified gravity, their excitation, and the modeling of ringdown waveforms. We also review the status of LIGO-Virgo-KAGRA ringdown observations, data analysis techniques, and the bright prospects of the field in the era of LISA and next-generation ground-based gravitational-wave detectors.",
New submissions,How Many Times Should We Matched Filter Gravitational Wave Data? A Comparison of GstLAL's Online and Offline Performance,"Prathamesh Joshi,Wanting Niu,Chad Hanna,Rachael Huxford,Divya Singh,Leo Tsukada,Shomik Adhicary,Pratyusava Baral,Amanda Baylor,Kipp Cannon,Sarah Caudill,Michael W. Coughlin,Bryce Cousins,Jolien D. E. Creighton,Becca Ewing,Heather Fong,Richard N. George,Shaon Ghosh,Patrick Godwin,Reiko Harada,Yun-Jing Huang,Cody Messick,Soichiro Morisaki,Debnandini Mukherjee,Alexander Pace,Cort Posnansky,Anarya Ray,Surabhi Sachdev,Shio Sakon,Urja Shah,Ron Tapia,Koh Ueno,Aaron Viets,Leslie Wade,Madeline Wade,Zach Yarbrough,Noah Zhang",General Relativity and Quantum Cosmology (gr-qc); Cosmology and Nongalactic Astrophysics (astro-ph.CO); Instrumentation and Methods for Astrophysics (astro-ph.IM),"Searches for gravitational waves from compact binary coalescences employ a process called matched filtering, in which gravitational wave strain data is cross-correlated against a bank of waveform templates. Data from every observing run of the LIGO, Virgo, and KAGRA collaboration is typically analyzed in this way twice, first in a low-latency mode in which gravitational wave candidates are identified in near-real time, and later in a high-latency mode. Such high-latency analyses have traditionally been considered more sensitive, since background data from the full observing run is available for assigning significance to all candidates, as well as more robust, since they do not need to worry about keeping up with live data. In this work, we present a novel technique to use the matched filtering data products from a low-latency analysis and re-process them by assigning significances in a high-latency way, effectively removing the need to perform matched filtering a second time. To demonstrate the efficacy of our method, we analyze 38 days of LIGO and Virgo data from the third observing run (O3) using the GstLAL pipeline, and show that our method is as sensitive and reliable as a traditional high-latency analysis. Since matched filtering represents the vast majority of computing time for a traditional analysis, our method greatly reduces the time and computational burden required to produce the same results as a traditional high-latency analysis. Consequently, it has already been adopted by GstLAL for the fourth observing run (O4) of the LIGO, Virgo, and KAGRA collaboration.",
New submissions,Critical slowing down of black hole phase transition and kinetic crossover in supercritical regime,"Ran Li,Kun Zhang,Jiayue Yang,Robert B. Mann,Jin Wang",General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Theory (hep-th),"Reissner-Nordström-Anti-de Sitter (RNAdS) black holes in the extended phase space exhibit critical behavior analogous to the liquid-gas system, with critical exponents matching those of van der Waals-type phase transitions. However, the kinetics of these transitions near spinodal and critical points remain poorly understood. We demonstrate that both the autocorrelation time and the variance of trajectories increase significantly as the system approaches these special points, signaling critical slowing down. This behavior is driven by the flattening of the free energy landscape, as further confirmed by the lowest eigenvalue of the Fokker-Planck equation. Moreover, we uncover a clear dynamical crossover separating gas-like and liquid-like regimes in the supercritical region. This kinetic crossover defines the Widom line that closely matches the thermodynamic one obtained from the maxima of the isobaric heat capacity. These findings contribute to a deeper understanding of the kinetics of RNAdS black holes in the vicinity of spinodal and critical points.",
New submissions,Study of Curvature-Matter Coupling in Modified Gravity,Lakhan V. Jaybhaye,General Relativity and Quantum Cosmology (gr-qc),"Over the past century, General Relativity (GR) has been a cornerstone of gravitational theory. However, recent cosmological observations, such as the accelerated expansion of the Universe, challenge its completeness and the standard $\Lambda$CDM model. This has motivated the development of alternative approaches, including dynamical dark energy and modifications to gravity. This thesis investigates the $f(R, L_m)$ gravity framework, which extends $f(R)$ gravity by introducing curvature-matter coupling, to address unresolved issues in modern cosmology.Chapter 1 reviews the foundations of cosmology, GR, and $\Lambda$CDM, discussing their challenges and introducing modified gravity theories. Chapter 2 studies cosmic expansion in a specific non-linear $f(R, L_m)$ model, analyzing its dynamics using updated $H(z)$ and Pantheon datasets and demonstrating a deceleration-to-acceleration transition. Chapter 3 introduces a model-independent Hubble parameter parametrization and explores cosmological variables using MCMC and combined data. Chapter 4 incorporates bulk viscosity into $f(R, L_m)$ models to explain late-time acceleration and applies Om diagnostics and energy conditions. Chapter 5 examines non-singular matter bounce cosmologies, analyzing bouncing dynamics and the evolution of cosmographic parameters. Chapter 6 addresses gravitational baryogenesis and shows how $f(R, L_m)$ gravity supports the observed baryon-to-entropy ratio. Chapter 7 summarizes the results and suggests directions for future work.",
New submissions,Covariant diffusion and drift of the stochastic GW background with LISA,"Giorgio Mentasti,Arad Nasiri",General Relativity and Quantum Cosmology (gr-qc); Cosmology and Nongalactic Astrophysics (astro-ph.CO); High Energy Physics - Theory (hep-th),"We study the covariant diffusion and drift of massless particles on the light cone within the context of quantum gravity phenomenology. Unlike modified dispersion relations that violate Lorentz invariance and grow with frequency, this model introduces a stochastic correction to the massless geodesic equation while preserving Lorentz invariance, and is dominant at lower frequencies due to the larger spacetime support of long-wavelength modes. The effect is phenomenologically described by just two diffusion and drift parameters, $\kappa_1$ and $\kappa_2$, whose values are already constrained by measurements of the CMB blackbody spectrum. We show that a direct measurement and characterization of a gravitational wave (GW) background frequency spectrum can improve bounds on these diffusion and drift parameters by over 12 orders of magnitude compared to those from the CMB. In particular, we find that detecting a GW background sourced by realistic models of first-order phase transitions or primordial black holes (PBH) with LISA can constrain the parameters down to a value of $\kappa_1,\,\kappa_2\lesssim 10^{-56}\,\text{kg}\,\text{m}^2\text{s}^{-3}$.",
New submissions,Likelihoods for Stochastic Gravitational Wave Background Data Analysis,"Gabriele Franciolini,Mauro Pieroni,Angelo Ricciardone,Joseph D. Romano",General Relativity and Quantum Cosmology (gr-qc); Cosmology and Nongalactic Astrophysics (astro-ph.CO),"We present a systematic study of likelihood functions used for Stochastic Gravitational Wave Background (SGWB) searches. By dividing the data into many short segments, one customarily takes advantage of the Central Limit Theorem to justify a Gaussian crosscorrelation likelihood. We show, with a hierarchy of ever more realistic examples, beginning with a single frequency bin and one detector, and then moving to two and three detectors with white and colored signal and noise, that approximating the exact Whittle likelihood by various Gaussian alternatives can induce systematic biases in the estimation of the SGWB parameters. We derive several approximations for the full likelihood and identify regimes where Gaussianity breaks down. We also discuss the possibility of conditioning the full likelihood on fiducial noise estimates to produce unbiased SGWB parameter estimation. We show that for some segment durations and bandwidths, particularly in space-based and pulsar-timing arrays, the bias can exceed the statistical uncertainty. Our results provide practical guidance for segment choice, likelihood selection, and data-compression strategies to ensure robust SGWB inference in current and next-generation gravitational wave detectors.",
Cross submissions,Colloquium: The Cosmic Dipole Anomaly,"Nathan Secrest,Sebastian von Hausegger,Mohamed Rameez,Roya Mohayaee,Subir Sarkar",Cosmology and Nongalactic Astrophysics (astro-ph.CO); General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Phenomenology (hep-ph),"The Cosmological Principle, which states that the Universe is homogeneous and isotropic (when averaged on large scales), is the foundational assumption of Friedmann-Lemaitre-Robertson-Walker (FLRW) cosmologies such as the current standard Lambda-Cold-Dark-Matter ({\Lambda}CDM) model. This simplification yields an exact solution to the Einstein field equations that relates space and time through a single time-dependent scale factor, which defines cosmological observables such as the Hubble parameter and the cosmological redshift. The validity of the Cosmological Principle, which underpins modern cosmology, can now be rigorously tested with the advent of large, nearly all-sky catalogs of radio galaxies and quasars. Surprisingly, the dipole anisotropy in the large-scale distribution of matter is found to be inconsistent with the expectation from kinematic aberration and Doppler boosting effects in a perturbed FLRW universe, which is the standard interpretation of the observed dipole in the cosmic microwave background (CMB). Although the matter dipole agrees in direction with that of the CMB dipole, it is anomalously larger, demonstrating that either the rest frames in which matter and radiation appear isotropic are not the same, or that there is an unexpected intrinsic anisotropy in at least one of them. This discrepancy now exceeds 5{\sigma} in significance. We review these recent findings, as well as the potential biases, systematic issues, and alternate interpretations that have been suggested to help alleviate the tension. We conclude that the cosmic dipole anomaly poses a serious challenge to FLRW cosmology, and the standard {\Lambda}CDM model in particular, as an adequate description of our Universe.",
Cross submissions,Can metric-affine gravity be saved?,"Will Barker,Carlo Marzo,Alessandro Santoni",High Energy Physics - Theory (hep-th); General Relativity and Quantum Cosmology (gr-qc),"Like general relativity, metric-affine gravity should be a viable effective quantum theory, otherwise it is a mathematical curiosity without physical application. Assuming a perturbative quantum field theory, the universal, flat limit of metric-affine gravity offers a good foundation for model-building only when symmetry constraints are themselves sufficient to get rid of ghosts and tachyons, without requiring any further tuning of the couplings. Using this symmetry-first criterion, we find that for parity-preserving models with a totally symmetric distortion, only massless spin-one and spin-three modes are possible besides the graviton. Moreover, no viable models result from gauge symmetries generated by a scalar field.",
